dataset,sample_count,uniqueness_mean,uniqueness_std,eusergestes_mAP50
train25,25,0.1097394366,0.0585743376,0.824
train50,50,0.1224055708,0.1079242861,0.880
train75,75,0.134749078,0.133491193,0.868
train100,100,0.1115579401,0.08824785505,0.867
train125,125,0.1243374316,0.1097956872,0.860
train150,150,0.1313002061,0.1209459281,0.875
train175,175,0.1263868209,0.1226780571,0.888
train200,200,0.1260881032,0.114973482,0.841
train225,225,0.1364557316,0.1306018926,0.884
train250,250,0.1275317101,0.1229663529,0.873
train275,275,0.1289429394,0.1220589135,0.872
train300,300,0.1216150051,0.1085802007,0.888
train325,325,0.1204063418,0.1015115543,0.891
train350,350,0.1230573898,0.111653793,0.899
train375,375,0.1246801375,0.1131538928,0.899
train400,400,0.1245794343,0.1166427858,0.917
train425,425,0.1261392482,0.117623121,0.878
train450,450,0.1249895667,0.1157653618,0.891